4,,60471
1,,60010
1,1,60165
1,,60984
1,,60195
1,,19055
1,,60632-2340
1,,606551
1,,6023
1,,606060
1,1,66012
1,,06061
1,,60462
6,4,60428
1,,60808
1,1,60052
1,,75204
3,1,60482
1,2,60085
1,2,60512
6,15,60712
2,2,60544
5,3,60056
1,,60112
1,,650651
2,1,60564
3,,60668
2,3,60068
1,,36116-6239
1,,48342
1,,60707-3520
1,,60108
1,,60057
1,,60537
7,14,60411
2,1,60467
1,,60030
3,,606017
1,,606245
2,,69636
1,1,60007
1,,606032
9,14,60153
2,3,60304
2,2,60429
3,2,60669
1,2,60747
1,,90029
1,,600655
2,2,60120
2,7,60202
1,,60612-1298
1,,61615
1,1,60046
1,,60585
1,,48323
1,,65802
4,1,60106
1,,60756
1,3,60435
1,,606024
2,1,6029
1,,6-629
2,2,60008
2,1,6062
1,,66032
1,,60662
2,,60670
1,,60449
1,,60
1,,606038
3,2,60672
1,,60619-7044
1,2,60123
1,,97217
1,,46406
1,1,606052
2,4,60600
2,,UNKNOWN
1,,60227
1,,60528
1,,6030
1,,46303
1,,60698
1,1,60176
4,1,60472
1,,60696
2,,6069
2,2,60115
1,,50637
1,,50537
1,,6649
1,,6-620
1,,600615
1,1,60162
1,,60623-1533
1,,60189
1,,`60614
1,,6652
1,,606541
2,5,60527
1,1,46319
1,,606034
1,,60523
5,1,60059
1,,62557
2,2,60534
3,4,60130
1,1,60155
1,,00000
1,,46394
1,,60647-4645
1,,49782
1,,66017
1,,50641
1,,6044
1,,60031
1,,50659
1,,6628
1,1,60020
2,1,60126
1,,69651
2,,60073
2,,60332
1,,70707
1,,60137
1,,60629`
2,1,606053
1,1,60909
2,,66051
1,1,606019
2,1,60201
1,,60558
1,,606049
1,,62650
1,2,60664
5,3,60131
1,2,6037
2,3,60425
1,,60621312
1,1,6
1,,60507
3,3,60053
1,,606030
1,1,60436
1,,6610
1,,60586
1,,66629
2,,60090
1,,60516
1,,606117
2,2,60139
1,1,60019
1,2,60164
1,,606018
1,,606051
1,,60675
1,1,6053
1,1,60546
1,1,60163
1,,60834
1,,60040
1,,60529
1,1,60055
1,3,60506
1,,61612
3,1,60290
1,,6042
1,1,60681
1,,20782
1,,0641
1,,60919
1,1,66028
1,,560615
1,,60964
1,1,69647
1,,60457
1,,60629*
1,1,61701
1,2,60560
1,,6034
1,4,60667
1,,60836
1,,60042
1,,60364
1,1,60015
1,2,46312
1,,60860
1,5,60690
1,4,60148
1,1,60539
1,,606258
2,1,6039
1,1,60697
1,,60901
1,1,60089
2,,60446
1,,60709
1,,60468
1,2,60445
1,,66023
1,,6036
1,,66617
1,,6615
1,,61630
1,,60701
1,,60049
1,,60683
1,,60047
1,,53215
1,1,6018
1,,6643
1,5,60456
1,1,60844
1,3,60674
1,,60167
1,,690623
1,,60569
1,,50562
,1,60673
,1,62629
,6,60064
,1,51106
,2,60107
,1,609653
,1,61801
,2,69632
,1,60533
,1,60133
,1,60679
,1,60655-1804
,1,606029
,1,60054
,1,6063-
,1,44811
,1,60653312
,2,60035
,1,60184
,1,60737
,1,50651
,1,62918
,1,60638`
,1,6651
,2,06017
,2,6063
,1,606109
,2,60532
,1,1991
,2,60549
,1,60526
,1,55066
,2,60721
,1,61032
,1,06041
,1,606347
,1,60119
,1,12896
,2,62621
,1,2000
,1,60538
,1,60427
,2,60665
,1,606122
,5,60852
,1,6621
,2,60418
,1,46320
,1,61282
,1,66011
,3,60403
,1,60755
,1,66041
,2,66019
,1,61603
,1,69621
,1,60619773
,1,46409
,1,50528
,1,66038
,2,60514
,1,06053
,1,60142
,1,60469
,1,6422
,1,60620-0000
,1,53558
,2,60542
,2,60044
,1,6629
,1,`
,1,60099
,1,94105
,1,80583
,1,19382
,4,60034
,1,66018
,1,66047
,2,60062
,2,60818
,1,46408
,1,6062377
,1,60824
,2,60643-3112
,1,60116
,1,60219
,1,06019
,1,6064622
,1,2022
,1,66643
,1,60649-3618
,1,606396
,1,60143
,1,60565
,1,50529
,1,606921
,1,6624
,1,606323
,1,68801
,1,606623
,4,60551
,1,60069
,1,60124
,1,60897
,1,69639
,1,06034
,1,606040
,1,660660
,1,606016
,1,60490
,1,606446
,1,78250
,1,30707
,1,60188
,2,60074
,2,6608
,1,60830
,1,60642-7662
,1,60117
,1,6032
,1,60236
,1,606028
,1,60619`
,2,60688
,1,60024
,1,606021
,2,60817
,1,69057
,1,46403
,1,60620312
,2,60717
,1,60032
,1,60807
,1,6061
,1,60194
,1,46327
,1,2001
,1,6064 1
,1,66025
,1,61554
,1,60014
,1,60825
,1,606097
,1,69607
,1,6020
,2,60401
,1,600633
,1,6063629
,1,60048
,1,600630
,1,50707
,1,62702
,1,46402
,1,60103
,2,60693
,1,47909
,1,60454
,1,60027
,1,60140
,1,60508
,1,49079
,1,60141
,1,60505
,1,6065
,1,60156
